entry_id,deposited_model_num,label_asym_id,component_id,auth_asym_id,auth_seq_id,insertion_code_normalized,mapping_reason_class,algorithm_queue,preflight_mapping_status,heavy_atoms_structural,heavy_atoms_reference,heavy_atoms_mapped,heavy_atom_mapping_fraction,remediation_status,notes
3NWQ,1,C,2NC,A,100,,P3_SMALL_ATOMSET_DIFFERENCE,QUEUE_LOCAL_RECOVERY,partial_adapter_limitation,54,54,53,0.981481,pending,Stage 2I QC-controlled mapping deferral
3NXE,1,B,2NC,A,204,,P3_SMALL_ATOMSET_DIFFERENCE,QUEUE_LOCAL_RECOVERY,partial_adapter_limitation,54,54,53,0.981481,pending,Stage 2I QC-controlled mapping deferral
3NYG,1,C,2NC,A,100,,P3_SMALL_ATOMSET_DIFFERENCE,QUEUE_LOCAL_RECOVERY,partial_adapter_limitation,54,54,53,0.981481,pending,Stage 2I QC-controlled mapping deferral
3QLH,1,D,T27,A,555,,P1_EXACT_HEAVY_TOPOLOGY_MCS_PARTIAL,QUEUE_EXACT_GRAPH,partial_adapter_limitation,28,28,24,0.857143,pending,Stage 2I QC-controlled mapping deferral
3QO9,1,C,QO9,A,556,,P11_OTHER,QUEUE_BOND_TEMPLATE,partial_adapter_limitation,38,38,31,0.815789,pending,Stage 2I QC-controlled mapping deferral
3R0Y,1,C,RSZ,A,301,,P11_OTHER,QUEUE_BOND_TEMPLATE,partial_adapter_limitation,44,44,43,0.977273,pending,Stage 2I QC-controlled mapping deferral
3SPK,1,C,TPV,A,100,,P11_OTHER,QUEUE_BOND_TEMPLATE,partial_adapter_limitation,42,42,24,0.571429,pending,Stage 2I QC-controlled mapping deferral
3SPK,1,D,TPV,B,100,,P11_OTHER,QUEUE_BOND_TEMPLATE,partial_adapter_limitation,42,42,24,0.571429,pending,Stage 2I QC-controlled mapping deferral
3TAM,1,C,M06,A,561,,P11_OTHER,QUEUE_BOND_TEMPLATE,partial_adapter_limitation,28,28,27,0.964286,pending,Stage 2I QC-controlled mapping deferral
3UHL,1,G,2NC,C,101,,P3_SMALL_ATOMSET_DIFFERENCE,QUEUE_LOCAL_RECOVERY,partial_adapter_limitation,54,54,53,0.981481,pending,Stage 2I QC-controlled mapping deferral
3VQA,1,I,MWP,B,303,,P11_OTHER,QUEUE_BOND_TEMPLATE,partial_adapter_limitation,12,12,7,0.583333,pending,Stage 2I QC-controlled mapping deferral
3ZPS,1,F,EQM,B,1202,,P11_OTHER,QUEUE_BOND_TEMPLATE,partial_adapter_limitation,48,48,47,0.979167,pending,Stage 2I QC-controlled mapping deferral
3ZPT,1,F,M8Y,B,1202,,P11_OTHER,QUEUE_BOND_TEMPLATE,partial_adapter_limitation,48,48,27,0.5625,pending,Stage 2I QC-controlled mapping deferral
3ZPU,1,F,M8B,B,1202,,P11_OTHER,QUEUE_BOND_TEMPLATE,partial_adapter_limitation,49,49,27,0.55102,pending,Stage 2I QC-controlled mapping deferral
4B3O,1,E,EFZ,A,1557,,P11_OTHER,QUEUE_BOND_TEMPLATE,partial_adapter_limitation,21,21,17,0.809524,pending,Stage 2I QC-controlled mapping deferral
4CE9,1,G,O3N,A,1214,,P11_OTHER,QUEUE_BOND_TEMPLATE,partial_adapter_limitation,40,40,39,0.975,pending,Stage 2I QC-controlled mapping deferral
4CE9,1,L,O3N,B,1214,,P11_OTHER,QUEUE_BOND_TEMPLATE,partial_adapter_limitation,40,40,39,0.975,pending,Stage 2I QC-controlled mapping deferral
4CEA,1,I,ZSW,A,1217,,P11_OTHER,QUEUE_BOND_TEMPLATE,partial_adapter_limitation,37,37,36,0.972973,pending,Stage 2I QC-controlled mapping deferral
4CEA,1,O,ZSW,B,1216,,P11_OTHER,QUEUE_BOND_TEMPLATE,partial_adapter_limitation,37,37,36,0.972973,pending,Stage 2I QC-controlled mapping deferral
4CEB,1,M,ZSV,B,1215,,P11_OTHER,QUEUE_BOND_TEMPLATE,partial_adapter_limitation,42,42,41,0.97619,pending,Stage 2I QC-controlled mapping deferral
4CEB,1,N,ZSV,B,1216,,P11_OTHER,QUEUE_BOND_TEMPLATE,partial_adapter_limitation,42,42,41,0.97619,pending,Stage 2I QC-controlled mapping deferral
4CEC,1,I,2SS,A,1216,,P11_OTHER,QUEUE_BOND_TEMPLATE,partial_adapter_limitation,38,38,37,0.973684,pending,Stage 2I QC-controlled mapping deferral
4CEC,1,P,2SS,B,1216,,P11_OTHER,QUEUE_BOND_TEMPLATE,partial_adapter_limitation,38,38,37,0.973684,pending,Stage 2I QC-controlled mapping deferral
4CED,1,M,9NS,B,1215,,P11_OTHER,QUEUE_BOND_TEMPLATE,partial_adapter_limitation,39,39,38,0.974359,pending,Stage 2I QC-controlled mapping deferral
4CED,1,N,9NS,B,1216,,P11_OTHER,QUEUE_BOND_TEMPLATE,partial_adapter_limitation,39,39,38,0.974359,pending,Stage 2I QC-controlled mapping deferral
